Date,Content,label
2018-05-08,,1
2018-05-09,,2
2018-05-10,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,1
2018-05-11,,2
2018-05-14,,1
2018-05-15,,1
2018-05-16,,1
2018-05-17,,2
2018-05-18,(주)신한금융지주회사 상각형 조건부자본증권 발행결정 0,2
2018-05-21,,1
2018-05-23,,2
2018-05-24,,1
2018-05-25,,2
2018-05-28,,1
2018-05-29,,2
2018-05-30,,3
2018-05-31,(주)신한금융지주회사 지속가능경영보고서 등 관련사항(자율공시) 0,2
2018-06-01,,1
2018-06-04,,1
2018-06-05,,1
2018-06-07,,1
2018-06-08,,1
2018-06-11,,1
2018-06-12,,2
2018-06-14,,2
2018-06-15,,2
2018-06-18,,1
2018-06-19,,2
2018-06-20,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,2
2018-06-21,,2
2018-06-22,,1
2018-06-25,,1
2018-06-26,,1
2018-06-27,,2
2018-06-28,,2
2018-06-29,,1
2018-07-02,,2
2018-07-03,,2
2018-07-04,,2
2018-07-05,,1
2018-07-06,,1
2018-07-09,,1
2018-07-10,,2
2018-07-11,,1
2018-07-12,,2
2018-07-13,,1
2018-07-16,,2
2018-07-17,(주)신한금융지주회사 결산실적공시 예고(안내공시) 0,1
2018-07-18,,2
2018-07-19,,2
2018-07-20,,1
2018-07-23,,1
2018-07-24,(주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시) 0,2
2018-07-25,,2
2018-07-26,,2
2018-07-27,,1
2018-07-30,,2
2018-07-31,,2
2018-08-01,,2
2018-08-02,,2
2018-08-03,,1
2018-08-06,,2
2018-08-07,,2
2018-08-08,,1
2018-08-09,(주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정 0,2
2018-08-10,,1
2018-08-13,,2
2018-08-14,,1
2018-08-16,,2
2018-08-17,(주)신한금융지주회사 상각형 조건부자본증권 발행결정 0,1
2018-08-20,,2
2018-08-21,,1
2018-08-22,(주)신한금융지주회사 상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,2
2018-08-23,(주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정 0,2
2018-08-24,(주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,1
2018-08-27,(주)신한금융지주회사 타인에대한채무보증결정(자회사의 주요경영사항) 0 (주)신한금융지주회사 투자판단 관련 주요경영사항(자회사의 주요경영사항) 0,1
2018-08-28,,1
2018-08-29,,1
2018-08-30,,2
2018-08-31,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,1
2018-09-03,,1
2018-09-04,,2
2018-09-05,(주)신한금융지주회사 타법인주식및출자증권취득결정 0 (주)신한금융지주회사 자기주식취득 신탁계약 체결 결정 1,3
2018-09-06,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,2
2018-09-07,(주)신한금융지주회사 상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,1
2018-09-10,(주)신한금융지주회사 기타 경영사항(자율공시)(자회사의 주요경영사항) 0,2
2018-09-11,,1
2018-09-12,,1
2018-09-13,,1
2018-09-14,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,2
2018-09-17,,2
2018-09-18,,2
2018-09-19,,1
2018-09-20,,1
2018-09-21,,1
2018-09-27,,1
2018-09-28,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,1
2018-10-01,,1
2018-10-02,,1
2018-10-04,,1
2018-10-05,,2
2018-10-08,(주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,2
2018-10-10,,1
2018-10-11,,3
2018-10-12,,2
2018-10-15,,1
2018-10-16,,2
2018-10-17,,1
2018-10-18,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,2
2018-10-19,,2
2018-10-22,,0
2018-10-23,,2
2018-10-24,(주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0,0
2018-10-25,,2
2018-10-26,,2
2018-10-29,,1
2018-10-30,,3
2018-10-31,(주)신한금융지주회사 타법인주식및출자증권취득결정(자율공시) 0,1
2018-11-01,,2
2018-11-02,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,1
2018-11-05,,2
2018-11-06,,1
2018-11-07,,1
2018-11-08,,1
2018-11-09,,1
2018-11-12,,1
2018-11-13,,1
2018-11-14,,2
2018-11-16,,2
2018-11-19,,2
2018-11-20,,1
2018-11-21,,1
2018-11-22,"코스피  2076선서 혼조세 출발…외국인·기관 '팔자' 코스피  개인 '사자'에 2070선 상승 신한은행  한국암웨이와 전략적 업무협약 체결 코스피 상승 출발 후 2 070대 보합권 등락(종합2보) [재테크 풍향계] 올 연말 일몰 비과세통장 ISA  A부터 Z까지… [더머니스탁론]11월 이벤트매수불가종목 즉시 해결 &추가매수 가능 0 신한은행  한국암웨이와 전략적 업무협약 체결 [스마트금융대상] 현대카드  '락앤리밋'과 가상카드번호로 고객안전 책임진다 코스피  외국인·기관 매도에 하락 '전환' [신한금융투자 데일리] 불확실할 땐 배당주 0 [스마트금융대상] KB국민은행  '금융감독원장상' 수상 영예 미국  '북한 거래' 프랑스은행 제재… 한국 은행권 '긴장' [1보] 검찰  ‘신한금융 남산 3억원’ 사건 중앙지검 조사2부에 배당 검찰  ‘신한금융지주 남산 3억원’ 뇌물 사건 본격 수사 신한금융  대한민국 지속가능성보고서상 수상 자영업 전문 신평사 허용... 은행에 새로운 대출시장 0 신한금융  대한민국 지속가능성보고서상(KRCA) 수상 신한銀 `1000만 생활금융 플랫폼` 구축한다 0 농협금융 복합점포 '제자리'…WM 전략 고민 0 문 대통령 언급한 '일괄담보제도'...지재권·기계·매출채권 대출 확대 0 은행권 ""동산담보대출 걸음마인데…일괄담보제 '시기상조'"" 0 대통령 ""수수료 부담 완화""…카드업계 ""우리도 살게 해달라"" 0 금융위  23일 카드사 사장단 만난다…수수료 논의",1
2018-11-23,[연속 순매도] 외인  신한지주 9일째 팔아 코스피  2070선서 소폭 상승출발…외국인 '사자' 코스피 외국인 매수에 상승 출발…2 070대 강보합(종합) 세컨더리 보이콧 우려 한달…외국인 은행株 매도 속 우리은행만 '러브콜' -1 코스피  외국인·기관 팔자에 하락 '전환' 실시간 급등하는 테마주 찾아내는 새로운 서비스 나왔다 0 신한은행  대한민국 교육기부 박람회 참가 코스피  中 증시 약세에 영향받아 하락반전…외국인 '팔자' 전환 신한은행  '2018 대한민국 교육기부 박람회' 참가 신한은행  수출입 등 외환업무에 종이 없애고 디지털로 [마감]코스피  4일째 하락 2050선까지 밀려…G2 기술냉전 여파 코스피 나흘 연속 하락…기관 매도에 2 050대로 후퇴(종합) 코스피  미중 갈등 우려에 나흘째 '하락'…코스닥은 1%대 ↓ 코스피 기관 매도에 2 050대 후퇴…코스닥은 1%대 하락(종합2보) (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 코스피  기관 매도세에 나흘 연속 하락… 2050선 마감 [IR일정] 신한지주  Morgan Stanley 17th Annual Asia Pacific Summit 참가(싱가포르) [IR일정] 신한지주  Nomura증권 Korea All Access 2018 참가(국내),2
2018-11-26,"[시그널] 뜨거운 '린데코리아' 쟁탈전...1조대 인수금융 합종연횡 활발 0 은행 ""KT 화재 ATM 피해 대부분 복구…오늘 마무리"" 0 신한금융그룹  중소벤처 성장지원펀드 '3조원' 지원키로 코스피  외국인·기관 동반 매수에 상승 출발 코스피  기관·외인 매수에 상승…2 코스피  기관·외인 '사자' vs 개인 '팔자'…2070 회복 코스피  기관·외인 매수에 상승…장중 2 신한금융  3조원 규모 `성장지원펀드` 조성 카드 우대수수료  연매출 5억→30억 확대…가맹점당 214만원 혜택 코스피  저가 매수세 유입에 1% 이상 '상승'..삼성電·SK하이닉스↑ 신한금융지주  성장지원펀드 조성 신한금융  3조원 규모 '성장지원펀드 조성… GIB사업부문서 3년간 3000억원 출자 카드업계 ""최악의 상황…부가서비스 없애고 구조조정"" 발동동 0 [신한금융투자 데일리] 20년 전 마이크로 소프트는 0 신한은행  부부은퇴교실 열어 신한은행  은퇴준비 부부 대상 재무설계 컨설팅 카드 노조-최종구 금융위원장  오후 4시 만난다 [마감]코스피  기관 대규모 매수에 닷새만에 상승..2080선 회복 코스피  기관 매수에 닷새반에 반등…2080선 탈환 카드 수수료 인하…소비자 혜택 줄고 연회비 오른다 0 최종구 ""연매출 500억이상 가맹점 수수료 인상방안 찾겠다"" 0 김용범 ""新남방정책...은행의 아세안·인도 진출 적극 도울 것"" 0",2
2018-11-27,"삼성전자 액면분할로 '국민주' 됐지만 개미들은 울상 3 카드수수료 인하…내년 각사 순익 최대 150억 감소할 수도 0 코스피  개인 매수세 유입으로 상승 출발 '강보합' [오전시황]코스피 상승 출발···2 090 회복 11월 증시전망 수수료없는 더머니스탁론!! 0 코스피  2080선에서 보합권 등락..삼성電·SK하이닉스↓ [신한금융투자 데일리] 미국  펀더멘탈 불안과 이벤트 카드사  수수료 인하에 실적 '빨간불'…""각사 내년 순익 최대 150억 줄 수도"" 카드사  수수료 인하에 신용등급도 노란불?…나이스신평 ""하향 압력 가중"" 신한베트남은행  베트남 '1위' 카드 사업자로 선정 코스피  외국인·기관 동반 매수에 2100선 회복 신한베트남은행  '2018 비자 리더십 어워즈' 3개 부문 1위 수상 [마감]코스피  외국인·기관 '쌍끌이' 매수에 2100선 '바짝'..현대차 6%↑ 카드사, 수수료 인하 후 영업이익 26.6% 감소 0 미·중 정상회담 기대감에 코스피 2100 눈앞 마감 0",2
2018-11-28,"신한지주  Morgan Stanley 17th Annual Asia Pacific Summit 참가(싱가포르) 코스피  美훈풍에 상승 출발..'강보합' 코스피  기관 매도세에 '약보합' 전환 오늘의 테마주 ‘투봇’으로 먼저 매수하세요 0 코스피  外人·기관 매도에 혼조세…2 오늘 ‘급등각’ 나온 테마주 무료 배포 중 0 신한은행  베트남 현지서 `2019년 글로벌 및 베트남 경제전망 세미나` 개최 쥐구멍에도 해 뜰 날 있다…’급등테마주’ 찾는 서비스 화제 0 [신한금융투자 데일리] 중소형주 스타일러는 유가? 0 [내일의 상한가] 대규모 수주공사  매출의 30%를 차지! 대형이슈로 종목을 선별하라! 코스피  기관·개인 '사자'세에 2100선 회복 신한은행  베트남 현지서 '2019년 글로벌·베트남 경제전망 세미나' 개최 금감원  내달 이란인 계좌제한 점검…하나은행 첫 조사 임기 만료 앞둔 보험사 CEO…연임 여부 '촉각' 0 [마감]코스피  외국인·기관 '쌍끌이' 매수에 2100선 회복 외인·기관 쌍끌이…코스피 2100선 회복 0 김용범 ""자금세탁방지 업무  최고경영진이 책임지고 챙겨야"" [마켓뷰] 트럼프·시진핑 만남 기대감에 코스피 2100선 마감 0 은행권  자영업자 컨설팅 지원 강화 나선다 수수료인하 폭탄 맞은 카드사...""비용절감 외 방법 없어"" 0 올 히트상품 `高금리·달러·목표달성 적금` 0",2
2018-11-29,"4분기 시중은행 NIM, 3분기보다 하락하거나 유사할 듯 0 신한지주  목표가 7%↓ 5만8000원 제시-한화證 [퀵리포트] 신한지주  ""매수"" 유지..목표가 7%↓ 5만8000원-한화證 코스피  美금리인상 완화 기대감에 상승 출발..시총상위株↑ 신한은행  넷마블과 전략적 제휴 코스피  美훈풍에 나흘째 상승세 이어가..시총상위株↑ 이제는 가치투자  앞으로 대박 날 종목은 무엇? [신한금융투자 데일리] Fed 이슈에 주목할 시점 0 신한지주  Nomura증권 Korea All Access 2018 참가(국내) 신한금융  '홍콩GIB' 출범…""글로벌IB 전초기지 구축"" 우리·신한은행  '리플 플랫폼' 활용 해외송금 도입 박차 코스피  기관 매도세 전환에 상승폭 축소 신한銀  모바일게임 업체 넷마블과 인공지능·블록체인 기술 등 제휴 신한금융  글로벌 자본시장 공략 가속화…홍콩 GIB 출범 ▶와우스탁론 모든 수수료 0원  월 0.4%대 금리◀ [마감]코스피  美훈풍에 외국인 '사자' 행진..2100선 '안착' 20일만에 돌아온 외국인…코스피  2110선 상승 마감 파월 '비둘기' 발언에 코스피 한달여 만에 2 110대 진입(종합) 신한지주  홍콩 GIB 출범…글로벌 자본시장 공략 가속화 파월 '비둘기' 발언에 코스피 한달여 만에 2 110대 진입(종합2보) 코스피  외인 적극 매수에 2110선 회복…코스닥은 690선 후퇴 [마켓뷰] 비둘기 파월도 달구지 못한 뒷심부족 韓증시 0 신한은행  경기지방중소벤처기업청과 중소기업지원 업무협약",1
2018-11-30,"코스피  개인 매수세 유입에 상승 출발..'강보합' 코스피  금통위 앞두고 관망세…장 초반 보합권 은행권 내년 전망 너무 비관적... 실질 순이익 3.1% 성장 0 [업계동향]신한금융  1회 저신용자 재기지원 우수사례 수기공모전 시상식 개최 코스피  금통위 금리인상 경계감..약보합 전환 신한은행  `White Winter 환전·송금 페스티벌` 시행 ‘개미’말고 ‘슈퍼 투자자’되고 싶다면?...‘이것’만 잘 이용해도 가능해요! 0 신한금융  저신용자 재기지원 우수사례 수기공모전 시상식 가져 [기준금리 인상] 주담대  5년 고정금리 끝나면 이자 '2배' `한은 기준금리 인상에` 은행들 예적금 금리 잇따라 올릴 듯 0 [기준금리 인상] 시중은행 예·적금 금리 잇달아 인상 0 기준금리 0.25%p 인상에 코스피 약보합세…""시장 영향 미미"" 0 신한은행  예·적금 금리 0.1%p ~ 0.3%p 인상 은행이 바뀐다...승진시험 폐지·직급 간소화·프로젝트 0 [마감]코스피  5거래일만에 하락 마감 '숨고르기'..2100선 하회 코스피  미중회담 앞두고 하락…外人매도에 2 코스피 2100선 하회…금리인상· 미중 정상회담 경계심 0 코스피  미중회담 앞두고 하락…外人매도에 2 금리인상+달러강세+무역분쟁...투자처는? 0 中 은행보다 낮은 밸류에이션…은행주 ""싸지만 매력 없다"" 0 기준금리 인상에 시중은행 예·적금 금리도 오른다 0",2
2018-12-03,"은행주 상승 출발  신한지주 +1.09% 韓증시  '美中 무역휴전'에 2100·700선 안착 신한지주  목표가 3%↓ 5만8000원 제시-KTB證 [퀵리포트] 신한지주  ""매수"" 유지..목표가 3%↓ 5만8000원-KTB證 ◈ 미리 크리스마스~연4. 7&금리 더머니스탁론이 유일합니다.◈ 신한카드  `을지로3가 프로젝트` 첫발 내디뎌 1년만에 기준금리 인상…""빚테크 대신 현금성자산에 주목"" 0 자영업자 대출금리 이번주 인상…이자부담만 1.5조 증가 0 P2P금융 어니스트펀드  122억원 시리즈B 투자유치 미·중 무역분쟁 완화 훈풍…코스피·코스닥 1%대 상승 0",1
2018-12-04,"무역분쟁 휴전은 `1일 천하`..코스피  하루만에 하락 코스피지수  하루만에 약세 전환…외인·기관 순매도 중 신한카드  `제 23회 소비자의 날` 대통령 표창 수상 [신한금융투자 데일리] 두 가지 시나리오 0 카드 노조 ""구조조정 방지방안 조속히 마련하라"" 0 [더머니스탁론]손실종목 누구보다 빠르게 복구!! 0 신한은행  국가고객만족도(NCSI) 은행부문 1위 수상 코스피  장중 1%대 하락..기관 `2000억` 매도세 신한銀  2018년 국가고객만족도(NCSI) 은행부문 1위 신한은행  2018 국가고객만족도(NCSI) 은행부문 1위 수상 [마감]코스피  하루만에 하락..기관 `3600억` 매도 수수료 인하로 카드회원 혜택 3년간 9000억 축소 0 [마켓뷰] 이틀 못간 '미·중 휴전' 약발 0 금리인상에도 금융株 일주일새 7% `뚝`…약발 다했나 0",1
2018-12-05,미 금리역전·경기둔화 우려..코스피 1%대 하락 0 신한카드-롯데면세점  부산에 아름인 도서관 개관 신한은행  `두드림(Do Dream) 자동차·조선 상생대출` 선보여 美 '경기 둔화' 우려에 코스피 하락…공포 언제 사라질까 0 수수료 30배·무자격 판매…금융권 신탁판매 법위반 적발 0 [1시 주식시장은]외국인 매도에 여전한 약세 -1 [마감시황]외국인 2 000억 가까이 순매도에 하락 마감 [마켓뷰] 코스피  美 경기둔화 우려에 2100선 턱걸이 코스피  미국 경기둔화 우려에 이틀째 약세…2100선 유지 [증시/마감] 美증시 급락에 약세..코스피 2100선 턱걸이 0 신한은행  자동차·조선부품업체 2200억 자금 지원,1
2018-12-06,"연 27억원씩 내라…도 넘은 은행 '팔 비틀기' 0 은행주 하락세 출발  신한지주 -0.83% 코스피  외인 ‘팔자’에 하락출발…2100선 붕괴 신한지주  목표가 6만원 유지...전일종가 4만2250원 -미래에셋대우 [퀵리포트] 신한지주  ""매수"" 유지..목표가 6만원 유지-미래에셋대우 신한은행  아시안뱅커誌 선정 ‘대한민국 최우수 WM’ [신한금융투자 데일리] 2019년 시장이 선택할 스타일 0 9월 은행·지주사 BIS 자본비율 상승…케이뱅크 최저 0 3분기말 지주·은행 BIS 총자본비율 양호…케이뱅크 가장 낮아 0 코스피  외인 ‘셀 코리아’에 1%대 하락 한은·기재부 직원들의 영화 '국가부도의 날' 관람평 0 하나금융  모바일 손해보험 추진... 롯데손보 인수전 참여할 듯 은행주  올해 호실적·금리 인상에도 우울한 주가…전망은? 코스피 외인 매도에 2 060대 '뒷걸음'…코스닥 3%대 하락(종합) 공포 자극하는 미중 무역 분쟁…코스피 1%·코스닥3%대 하락 0 코스피 外人 매도에 2 060대 '뒷걸음'…코스닥 3%대 하락(종합2보)",2
2018-12-07,은행주 하락세 출발  신한지주 -0.72% [현장중계]신한은행  '디지털라이프스쿨'로 창업 꿈꾸는 청년들 돕는다 코스피  `외국인·기관 순매도`에도 나흘 만에 반등 [신한금융투자 데일리] G2 정상회담 재해석 0 12월 과대낙폭 신규진입!!단타의 바이블 [더머니스탁론] 0 신한은행  혁신적 창업인재 양성 '디지털라이프스쿨' 2기 졸업식 신한은행  '대한민국 농촌재능나눔 대상' 농림축산식품부 장관상 수상 오늘의 ‘급등 테마주’ 지금 찾아드립니다 0 미·중 무역협상 기대 유입…상승 마감한 코스피  장 중 2080선 터치 [마감]코스피  하루 만에 상승..남북경협株 강세,2
2018-12-10,"연말, 배당주 상대적 강세 전망…효성·DGB금융지주 등 유효 0 <유>신한지주  장중 신저가 기록.. 41 [특징주]신한지주  외국계 창구 매도 공세에  52주 신저가 美 뉴욕증시 하락에 코스피 1% 하락...2050선 후퇴 0 코스피  외국인 `사자`에도 1%대 하락 신한지주  52주 신저가 추락 '브렉시트 D-1'·美 장단기 금리차 변수…韓증시 1%↓ 0 신한금융투자  공식 블로그 리뉴얼 오픈…""글로벌 투자정보 제공"" 코스피 2050 밑으로 ↓ 0 [시그널] 하나금융그룹  신탁사서 리츠 사업부 분리한다 코스피  미국 증시 하락 경계감 '여전' [부자들은 경제신문을 읽는다] 최용화 연구원 ""한미약품  신약 치료제 출시할 시 실적 극적 반전"" 지금 반드시 사야할 저평가주 다섯가지 0 신한은행  블록체인 기술 적용 프로젝트 본격 도입 신한금융  디지털 아이디어 경진대회 개최 [증시/오후] 코스피  美 경기둔화 우려에 1.5%↓...""김정은 답방영향은 제한적"" 간편결제 시스템 1월까지 완료 0 신한은행  블록체인 기술 적용 프로젝트 본격 도입 韓증시  브렉시트 D-1·美 장단기금리차 1%·2%씩↓…'2050·670' [마감]미국發 경기둔화 우려 번져..코스피 1%대 하락 0 경기둔화·규제에 맥 못추는 금융주 0 [마켓인]증자 나선 하나금투  IB `점프` 우발채무 `경계`(종합) 기준금리 올려도 맥 못추는 금융株…KB금융·신한지주 동반 하락 0",3
2018-12-11,경기둔화·규제에 맥 못추는 금융주 0 코스피  기관·개인 ‘사자’에 강보합 출발 <유>신한지주  장중 신저가 기록.. 39 신상훈 전 신한지주 사장 검찰 출석…`남산 3억원 의혹` 본격 수사 0 검찰  ‘남산 3억원’ 신상훈 전 신한금융 사장 조사 중 코스피  외인 ‘팔자’에 하락 전환 신한금융지주  핀테크 ‘신한퓨처스랩 데모데이’ 개최 [지식재산(IP) 금융] 2022년까지 2조로 확대...9천여개 中企 지원 0 한기평  자동차·카드 신용등급 하락 '경고'...사업환경 악화 코스피  장 중 보합세 유지 모처럼 기회가 찾아왔는데 <투자자금이 부족하다면?..’저금리의 스탁론이 정답’> 0 투봇이 알려주는 2019년 대박 종목은? 0 [마감]코스피  외인 ‘셀코리아’에 하락…이틀째 2050선 머물러 코스피  외인 매도에 약보합 마감… 삼바↑ 셀트리온↓ [수출입기업 노리는 피싱]① e메일 '해킹'…거래사 사칭해 '돈' 가로채 0 유가 급락에 '인도'가 깨어났다 0,2
2018-12-12,"코스피  기관·개인 ‘사자’에 상승 출발 신한은행 모바일 앱 쏠  10개월만에 가입자 800만명 넘어서 '비관과 낙관사이'...국내證 vs 외국계 엇갈린 내년 증시전망  왜? 신한은행 모바일앱 쏠  가입자 800만명 돌파 신한은행  서울문화재단과 '문화예술지원' 협약 신한은행  모바일 플랫폼 '쏠' 가입자 8백만명 돌파 은행권 임단협 올해도 지지부진...파업 절차 돌입도 0 [에셋+] 은행주 '금리수혜'뿐?...4%넘는 연말 배당수익률이 더 달콤해 0 GTX-A·신안산선  민투심 통과..""실시계획 승인 후 착공""",1
2018-12-13,금감원  국민·우리은행 등 13개 금융사에 소비자보호 우수상 `아직도 멍청비용자?`…똑똑하게 떠나는 해외여행 `신용카드 편` 0 신한은행  맞춤형 자산관리서비스 `SOL Rich(쏠리치)` 출시 [2018 스타브랜드 대상] 불황 속 새로운 가치 제시한 42개 수상 영예 0 신한은행  서민금융·중소기업지원 부문 최우수 금융기관 수상 ◈ 미리 크리스마스~연4. 7&금리 더머니스탁론이 유일합니다.◈ [신한금융투자 데일리] 기다림 속 관심 필요한 전략 0 [2018 스타브랜드 대상] 어려울 때 투자할 용기 가진 기업 수상 영예 0 테마주 쏙쏙 골라내는 ‘투봇’ 서비스 화제 0 무역전쟁은 끝? 이제 이런 종목 사라 0 연말 금융CEO 인사 키워드는 `안정·내실` 0,1
