Date,Title,Content,출처,구분,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2017-07-06,에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항),에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2017-07-28,에이치엘비(주) 전환사채권발행결정(제26회차),에이치엘비(주) 전환사채권발행결정(제26회차) 0,코스닥공시,수시공시,,,,
2017-07-31,에이치엘비(주) 증권 발행결과(자율공시)(제26회차 CB),에이치엘비(주) 증권 발행결과(자율공시)(제26회차 CB) 0,코스닥공시,수시공시,,,,
2017-08-09,에이치엘비(주) 유상증자결정(종속회사의 주요경영사항),에이치엘비(주) 유상증자결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2017-08-09,에이치엘비(주) 타법인주식및출자증권취득결정,에이치엘비(주) 타법인주식및출자증권취득결정 0,코스닥공시,수시공시,,,,
2017-08-30,에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항),에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2017-09-05,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-09-11,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-09-18,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-09-21,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-09-25,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-10-10,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-10-12,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-10-13,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-10-19,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-10-24,에이치엘비(주) [투자주의]투자경고종목 지정예고,에이치엘비(주) [투자주의]투자경고종목 지정예고 0,코스닥공시,시장조치,,,,
2017-10-25,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-10-26,에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항),에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2017-10-31,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-11-01,에이치엘비(주) 추가상장(CB전환),에이치엘비(주) 추가상장(CB전환) 0,코스닥공시,시장조치,,,,
2017-11-17,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-11-17,에이치엘비(주) [투자주의]투자경고종목 지정예고,에이치엘비(주) [투자주의]투자경고종목 지정예고 0,코스닥공시,시장조치,,,,
2017-11-20,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-11-22,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-11-24,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2017-12-14,에이치엘비(주) 주식명의개서정지(주주명부폐쇄),에이치엘비(주) 주식명의개서정지(주주명부폐쇄) 0,코스닥공시,신고사항,,,,
2017-12-14,에이치엘비(주) 추가상장(CB전환),에이치엘비(주) 추가상장(CB전환) 0,코스닥공시,시장조치,,,,
2018-01-02,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2018-01-19,에이치엘비(주) 공매도 과열종목 지정(공매도 거래 금지 적용),에이치엘비(주) 공매도 과열종목 지정(공매도 거래 금지 적용) 0,코스닥공시,시장조치,,,,
2018-01-24,에이치엘비(주) 기타 주요경영사항(종속회사의 주요경영사항),에이치엘비(주) 기타 주요경영사항(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2018-01-24,에이치엘비(주) 불성실공시법인지정예고(공시번복),에이치엘비(주) 불성실공시법인지정예고(공시번복) 0,코스닥공시,시장조치,,,,
2018-01-26,에이치엘비(주) 교환사채권발행결정,에이치엘비(주) 교환사채권발행결정 0,코스닥공시,수시공시,,,,
2018-01-26,에이치엘비(주) 자기주식 처분 결정,에이치엘비(주) 자기주식 처분 결정 0,코스닥공시,수시공시,,,,
2018-02-05,에이치엘비(주) 증권 발행결과(자율공시)(제27회차 교환사채),에이치엘비(주) 증권 발행결과(자율공시)(제27회차 교환사채) 0,코스닥공시,수시공시,,,,
2018-02-09,에이치엘비(주) 불성실공시법인지정(공시번복),에이치엘비(주) 불성실공시법인지정(공시번복) 0,코스닥공시,시장조치,,,,
2018-02-20,에이치엘비(주) 전환사채권발행결정(제28회차),에이치엘비(주) 전환사채권발행결정(제28회차) 0,코스닥공시,수시공시,,,,
2018-02-20,에이치엘비(주) 증권 발행결과(자율공시),에이치엘비(주) 증권 발행결과(자율공시) 0,코스닥공시,수시공시,,,,
2018-02-21,에이치엘비(주) 매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,에이치엘비(주) 매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동 0,코스닥공시,수시공시,,,,
2018-02-22,에이치엘비(주) 주주총회소집결의,에이치엘비(주) 주주총회소집결의 0,코스닥공시,수시공시,,,,
2018-03-06,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-03-12,에이치엘비(주) 타법인 주식 및 출자증권 양도결정,에이치엘비(주) 타법인 주식 및 출자증권 양도결정 0,코스닥공시,수시공시,,,,
2018-03-12,에이치엘비(주) 주권 관련 사채권의 취득결정,에이치엘비(주) 주권 관련 사채권의 취득결정 0,코스닥공시,수시공시,,,,
2018-03-19,에이치엘비(주) (정정)매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,에이치엘비(주) (정정)매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동 0,코스닥공시,수시공시,,,,
2018-03-19,에이치엘비(주) 추가상장(CB전환),에이치엘비(주) 추가상장(CB전환) 0,코스닥공시,시장조치,,,,
2018-03-20,에이치엘비(주) 감사보고서 제출,에이치엘비(주) 감사보고서 제출 0,코스닥공시,수시공시,,,,
2018-03-28,에이치엘비(주) 정기주주총회결과,에이치엘비(주) 정기주주총회결과 0,코스닥공시,수시공시,,,,
2018-04-06,에이치엘비(주) [투자주의]투자경고종목 지정예고,에이치엘비(주) [투자주의]투자경고종목 지정예고 0,코스닥공시,시장조치,,,,
2018-04-06,에이치엘비(주) 단일판매ㆍ공급계약체결,에이치엘비(주) 단일판매ㆍ공급계약체결 1,코스닥공시,수시공시,,,,
2018-04-09,에이치엘비(주) 투자경고종목지정,에이치엘비(주) 투자경고종목지정 0,코스닥공시,시장조치,,,,
2018-04-10,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-04-16,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-04-20,에이치엘비(주) 매매거래정지 예고,에이치엘비(주) 매매거래정지 예고 0,코스닥공시,시장조치,,,,
2018-04-23,에이치엘비(주) 매매거래정지 예고,에이치엘비(주) 매매거래정지 예고 0,코스닥공시,시장조치,,,,
2018-04-24,에이치엘비(주) [투자주의]투자경고종목 지정해제 및 재지정 예고,에이치엘비(주) [투자주의]투자경고종목 지정해제 및 재지정 예고 0,코스닥공시,시장조치,,,,
2018-04-25,에이치엘비(주) 추가상장(국내사모 CB전환),에이치엘비(주) 추가상장(국내사모 CB전환) 0,코스닥공시,시장조치,,,,
2018-05-08,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-05-29,에이치엘비(주) [투자주의]종가급변종목,에이치엘비(주) [투자주의]종가급변종목 0,코스닥공시,시장조치,,,,
2018-06-04,에이치엘비(주) 추가상장(CB전환),에이치엘비(주) 추가상장(CB전환) 0,코스닥공시,시장조치,,,,
2018-06-20,에이치엘비(주) (정정)단일판매ㆍ공급계약체결,에이치엘비(주) (정정)단일판매ㆍ공급계약체결 1,코스닥공시,수시공시,,,,
2018-06-28,에이치엘비(주) 전환사채권발행결정(제29회차),에이치엘비(주) 전환사채권발행결정(제29회차) 0,코스닥공시,수시공시,,,,
2018-06-28,에이치엘비(주) 신주인수권부사채권발행결정(제30회차),에이치엘비(주) 신주인수권부사채권발행결정(제30회차) 0,코스닥공시,수시공시,,,,
2018-06-29,에이치엘비(주) 증권 발행결과(자율공시),에이치엘비(주) 증권 발행결과(자율공시) 0,코스닥공시,수시공시,,,,
2018-06-29,에이치엘비(주) 증권 발행결과(자율공시),에이치엘비(주) 증권 발행결과(자율공시) 0,코스닥공시,수시공시,,,,
2018-07-03,에이치엘비(주) 추가상장(국내사모 CB전환),에이치엘비(주) 추가상장(국내사모 CB전환) 0,코스닥공시,시장조치,,,,
2018-07-10,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2018-07-25,에이치엘비(주) 유상증자결정(종속회사의 주요경영사항),에이치엘비(주) 유상증자결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2018-07-25,에이치엘비(주) 타법인주식및출자증권취득결정,에이치엘비(주) 타법인주식및출자증권취득결정 0,코스닥공시,수시공시,,,,
2018-07-25,에이치엘비(주) [투자주의]종가급변종목,에이치엘비(주) [투자주의]종가급변종목 0,코스닥공시,시장조치,,,,
2018-07-31,에이치엘비(주) 전환청구권행사(제26회차),에이치엘비(주) 전환청구권행사(제26회차) 0,코스닥공시,신고사항,,,,
2018-08-09,에이치엘비(주) 추가상장(제26회차 CB전환),에이치엘비(주) 추가상장(제26회차 CB전환) 0,코스닥공시,시장조치,,,,
2018-08-23,에이치엘비(주) 추가상장(제25회,에이치엘비(주) 추가상장(제25회  26회차 CB전환),0,코스닥공시,시장조치,,,
2018-09-05,에이치엘비(주) 유상증자결정(제3자배정),에이치엘비(주) 유상증자결정(제3자배정) 0,코스닥공시,수시공시,,,,
2018-09-06,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-09-07,에이치엘비(주) (정정)단일판매ㆍ공급계약체결,에이치엘비(주) (정정)단일판매ㆍ공급계약체결 1,코스닥공시,수시공시,,,,
2018-09-07,에이치엘비(주) 추가상장(국내사모 CB전환),에이치엘비(주) 추가상장(국내사모 CB전환) 0,코스닥공시,시장조치,,,,
2018-09-11,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2018-09-11,에이치엘비(주) 추가상장(제26회차 CB전환),에이치엘비(주) 추가상장(제26회차 CB전환) 0,코스닥공시,시장조치,,,,
2018-09-18,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-09-27,에이치엘비(주) 추가상장(제25,에이치엘비(주) 추가상장(제25 26회차 CB전환),0,코스닥공시,시장조치,,,
2018-10-02,에이치엘비(주) (정정)유상증자결정(제3자배정),에이치엘비(주) (정정)유상증자결정(제3자배정) 0,코스닥공시,수시공시,,,,
2018-10-02,에이치엘비(주) 증권 발행결과(자율공시),에이치엘비(주) 증권 발행결과(자율공시) 0,코스닥공시,수시공시,,,,
2018-10-05,에이치엘비(주) (정정)단일판매ㆍ공급계약체결,에이치엘비(주) (정정)단일판매ㆍ공급계약체결 1,코스닥공시,수시공시,,,,
2018-10-08,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2018-10-15,에이치엘비(주) 타법인주식및출자증권취득결정,에이치엘비(주) 타법인주식및출자증권취득결정 0,코스닥공시,수시공시,,,,
2018-10-22,에이치엘비(주) 추가상장(제26회차 CB전환),에이치엘비(주) 추가상장(제26회차 CB전환) 0,코스닥공시,시장조치,,,,
2018-10-25,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-10-26,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2018-10-31,에이치엘비(주) (정정)단일판매ㆍ공급계약체결,에이치엘비(주) (정정)단일판매ㆍ공급계약체결 1,코스닥공시,수시공시,,,,
2018-11-22,기관,기관  기록적인 코스닥 '팔자' 행진…16일간 1조2천억원,0,연합뉴스,경제,,,
2018-11-22,“목표주가 250,“목표주가 250 000원” 셀트리온 2019년 전망 총정리,0,이데일리,경제/산업,,,
2018-11-22,코스피,코스피  개인 '사자'에 2070선 상승,0,한경뉴스,증권,,,
2018-11-22,지루한 박스권 장세...낙폭과대 이익개선주에서 아이디어 얻어야,지루한 박스권 장세...낙폭과대 이익개선주에서 아이디어 얻어야 0,머니투데이,증권-일반,,,,
2018-11-22,코스피 상승 출발 후 2,코스피 상승 출발 후 2 070대 보합권 등락(종합),0,연합뉴스,경제,,,
2018-11-22,12월 FDA 희귀의약품 지정되나? 지정 기대감 바이오株는 ?,12월 FDA 희귀의약품 지정되나? 지정 기대감 바이오株는 ? 0,이데일리,경제/산업,,,,
2018-11-22,에이치엘비(028300)  소폭 상승세 +3.36%,에이치엘비(028300)  소폭 상승세 +3.36% 0,인포스탁,코스닥종목,,,,
2018-11-22,(광고) 단타공략주 종목대기,(광고) 단타공략주 종목대기  장중 무료 공개방송,0,이데일리,경제/산업,,,
2018-11-22,美 기술주 반등에도 등락 거듭하는 코스피지수,美 기술주 반등에도 등락 거듭하는 코스피지수  2070선,0,조선비즈,Market,,,
2018-11-22,코스피 상승 출발 후 2,코스피 상승 출발 후 2 070대 보합권 등락(종합2보),0,연합뉴스,경제,,,
2018-11-22,개인투자자의 치명적 실패원인,개인투자자의 치명적 실패원인  나혼자 매매,0,매경뉴스,증권,,,
2018-11-22,반대매매가 걱정된다면 최저 연 4.9% 대환 상품- 한국스탁론,반대매매가 걱정된다면 최저 연 4.9% 대환 상품- 한국스탁론 0,이데일리,경제/산업,,,,
2018-11-22,<11월 주식자금> 모든상품 = 취급수수료0원! 누구나 부담없이 즉시 신청,<11월 주식자금> 모든상품 = 취급수수료0원! 누구나 부담없이 즉시 신청 0,머니투데이,증권-일반,,,,
2018-11-22,코스피 조정 vs 낙폭 제한적.. 대비는 수수료 없는 연 4.7% 자금으로,코스피 조정 vs 낙폭 제한적.. 대비는 수수료 없는 연 4.7% 자금으로 0,매경뉴스,증권,,,,
2018-11-22,500조 시장 선점! 주가 폭등 전 마지막 자리! 10억계좌 만들 강력한 재료株!!,500조 시장 선점! 주가 폭등 전 마지막 자리! 10억계좌 만들 강력한 재료株!! 0,이데일리,경제/산업,,,,
2018-11-22,코스피,코스피  외국인·기관 매도에 하락 '전환',-1,한경뉴스,증권,,,
2018-11-22,하락장에서 가물어가는 계좌를 배당수익으로 적셔줄 高배당株 총정리!,하락장에서 가물어가는 계좌를 배당수익으로 적셔줄 高배당株 총정리! 0,뉴스핌,정치,,,,
2018-11-22,1200%↑예상,1200%↑예상  셀트리온 넘어설 신약재료 임박 + 해외 임상3상 진행중!,0,이데일리,경제/산업,,,
2018-11-22,11월 23일 상한가입니다. 딱 200만원만 준비하세요!!,11월 23일 상한가입니다. 딱 200만원만 준비하세요!! 0,뉴스핌,정치,,,,
2018-11-22,최대 1500%↑大폭등 예정!! 차기 대선주자 이낙연 관련주! 돈 냄새가 진동하는 종목 빨리 잡아라!!!,최대 1500%↑大폭등 예정!! 차기 대선주자 이낙연 관련주! 돈 냄새가 진동하는 종목 빨리 잡아라!!! 0,뉴스핌,정치,,,,
2018-11-22,800%상승 이건 마지막 기회의 재료주다(선착순10명),800%상승 이건 마지막 기회의 재료주다(선착순10명) 0,이데일리,경제/산업,,,,
2018-11-22,"[단독] FDA 허가완료! 항암제신약 개발""한 급등임박 제약株","[단독] FDA 허가완료! 항암제신약 개발""한 급등임박 제약株 6",뉴스핌,정치,,,,
2018-11-22,[마감]코스닥,[마감]코스닥  외국인·기관 `팔자`에 하루 만에 하락,0,이데일리,경제/산업,,,
2018-11-22,코스피,코스피  외국인·기관 매도에 2060선까지 '후퇴',-1,한경뉴스,증권,,,
2018-11-22,코스닥 기관 순매수,코스닥 기관 순매수 도 상위20종목,0,인포스탁,코스닥종목,,,
2018-11-22,코스피 외인·기관 매도에 사흘째 하락…2,코스피 외인·기관 매도에 사흘째 하락…2 070선도 내줘(종합),-1,연합뉴스,경제,,,
2018-11-22,[증시/마감] 美 증시 휴장전 관망세...코스피 소폭 내려,[증시/마감] 美 증시 휴장전 관망세...코스피 소폭 내려 0,뉴스핌,금융,,,,
2018-11-22,코스피 외인·기관 매도에 사흘째 하락…2,코스피 외인·기관 매도에 사흘째 하락…2 070선도 내줘(종합2보),-1,연합뉴스,경제,,,
2018-11-22,外人 8거래일 연속 순매도…코스피 2060선 후퇴,外人 8거래일 연속 순매도…코스피 2060선 후퇴 0,머니투데이,주식,,,,
2018-11-22,하락장 대응법 따로 있다.,하락장 대응법 따로 있다. 0,한경뉴스,증권,,,,
2018-11-22,【집중】 내일(23일) 급등 유망주 5선 전격 공개(선착순),【집중】 내일(23일) 급등 유망주 5선 전격 공개(선착순) 0,이데일리,경제/산업,,,,
2018-11-23,반등의 준비는 끝났다 완벽 매수타이밍+외국인 대량거래 이종목!,반등의 준비는 끝났다 완벽 매수타이밍+외국인 대량거래 이종목! 0,서울경제,증권,,,,
2018-11-23,미국 FDA 승인 기대감! 제약/바이오株 승인 일정 총정리,미국 FDA 승인 기대감! 제약/바이오株 승인 일정 총정리 0,이데일리,경제/산업,,,,
2018-11-23,"아직도 금리 높은 신용거래 하세요?..""똑똑한 투자자는 I-Stock과 함께 해요""","아직도 금리 높은 신용거래 하세요?..""똑똑한 투자자는 I-Stock과 함께 해요"" 0",이데일리,경제/산업,,,,
2018-11-23,“美 시장 진출” 42조 FDA 임상 허가 항암치료 제약株,“美 시장 진출” 42조 FDA 임상 허가 항암치료 제약株 0,이데일리,경제/산업,,,,
2018-11-23,코스피,코스피  소폭 상승세...뉴욕증시 휴장에 거래 '한산',0,머니투데이,주식,,,
2018-11-23,코스닥,코스닥  개인 ‘사자’에 상승 출발,0,이데일리,경제/산업,,,
2018-11-23,코스피,코스피  트럼프 중국과 무역협상 언급에 '상승',0,한경뉴스,증권,,,
2018-11-23,코스피 외국인 매수에 상승 출발…2,코스피 외국인 매수에 상승 출발…2 070대 강보합(종합),0,연합뉴스,경제,,,
2018-11-23,에이치엘비(028300)  소폭 상승세 +3.05%,에이치엘비(028300)  소폭 상승세 +3.05%  외국계 매수 유입,0,인포스탁,코스닥종목,,,
2018-11-23,1200%↑,1200%↑  2018년 12월 이 종목 하나면 줄대박 난다!,0,인포스탁,코스닥종목,,,
2018-11-23,외국계 순매수,외국계 순매수 도 상위종목(코스닥시장) 금액기준,0,인포스탁,코스닥종목,,,
2018-11-23,연말 바닥권의 악재를 사라.. 스마트한 투자 스탁론,연말 바닥권의 악재를 사라.. 스마트한 투자 스탁론 0,서울경제,증권,,,,
